ESTABLECIMIENTO,PROVINCIA,MUNICIPIO,TITULAR,DIRECCIÓN,DEPARTAMENTO DE SALUD,ZONA ZBS,ZONA FARMACÉUTICA
A-425-F,ALICANTE,ALICANTE/ALACANT,MARIA ANGELES ORTS LLINARES,"AVDA Maisonnave, 45, 03003",17,1,21
A-428-F,ALICANTE,ALICANTE/ALACANT,JOAQUINA ISABEL RANGEL RAMAJO,"CALLE Antonio Noguera, 5, 03014",19,6,21
A-431-F,ALICANTE,ALICANTE/ALACANT,CARMEN TEROL VALLS,"CALLE San Pablo, 69, 03012",17,3,21
A-433-F,ALICANTE,ALICANTE/ALACANT,ANA LUISA VICEDO JORDAN,"AVDA G.V.Conde de Casa-Rojas, 3, 03006",19,3,21
A-438-F,ALICANTE,ALICANTE/ALACANT,ALBERTO ALZAMORA BUIZA,"CALLE Daya Vieja, 17, 03010",19,6,21
A-439-F,ALICANTE,ALICANTE/ALACANT,MARIA DEL MAR MAHIQUEZ BUJANDA,"AVDA Costa Blanca, 128, 03540",17,5,21
A-440-F,ALICANTE,ALICANTE/ALACANT,JOSE BOLUFER VIGRANA,"CALLE Asturias, 2, 03007",19,3,21
A-441-F,ALICANTE,ALICANTE/ALACANT,MARIA PILAR GALIANA GARCIA,"CALLE Hermanos Doctores Server Cerda, 2, 03015",17,3,21
A-442-F,ALICANTE,ALICANTE/ALACANT,"JUAN JOSE BORONAT ARANDA, DESAMPARADOS RAMOS RAMIS","CALLE Cerda, 108, 03009",19,5,21
A-443-F,ALICANTE,ALICANTE/ALACANT,MARIA ASUNCIÓN BACH BUENDIA,"CALLE VICENTE CHAVARRI, 18, 03007",19,3,21
A-448-F,ALICANTE,ALICANTE/ALACANT,ANA GINER MONTOYO,"CALLE Italia, 39, 03003",17,1,21
A-452-F,ALICANTE,ALICANTE/ALACANT,"MARIA DOLORES CHICOY MASSA, ROSA MARIA MOYANO CHICOY","CALLE Musico Alfosea, S/N, 03011",19,7,21
A-459-F,ALICANTE,ALICANTE/ALACANT,IGNACIO MANUEL MEDINA GALVEZ,"CALLE Pintor Peyret, 38, 03011",19,7,21
A-460-F,ALICANTE,ALICANTE/ALACANT,MIGUEL ANTONIO CAMACHO MARTINEZ,"CALLE Concejal Lorenzo Llaneras, 9, 03005",19,4,21
A-461-F,ALICANTE,ALICANTE/ALACANT,PILAR MIRALLES DEL POZO,"AVDA Alcalde Lorenzo Carbonell, 16, 03007",19,2,21
A-463-F,ALICANTE,ALICANTE/ALACANT,"MARIA SANCHEZ RODRIGUEZ, JOAQUIN ELIER SANCHEZ RODRIGUEZ","CALLE Javea, 96, 03009",19,5,21
A-468-F,ALICANTE,ALICANTE/ALACANT,TOMAS CASARES RODRIGUEZ,"AVDA Cardenal Francisco Alvarez, 12, 03005",19,4,21
A-477-F,ALICANTE,ALICANTE/ALACANT,ROQUE LUIS ROLDAN GUTIERREZ,"CALLE ARTURO, 23, 03007",19,3,21
A-478-F,ALICANTE,ALICANTE/ALACANT,VIRTUDES RUIZ ORTUÑO,"AVDA VILLAJOYOSA, 18, 03016",17,5,21
A-479-F,ALICANTE,ALICANTE/ALACANT,FRANCISCO ESCOLANO GARCIA,"CALLE Ciudad Real, 21, 03005",19,4,21
A-488-F,ALICANTE,ALICANTE/ALACANT,CONCEPCION GALIANA GARCIA,"CALLE Primavera, 19, 03012",19,6,21
A-48-F,ALICANTE,ALICANTE/ALACANT,MARIA ENCARNACION PAEZ CLAVERO,"CALLE CastaÃ±os, 9, 03001",17,1,21
A-492-F,ALICANTE,ALICANTE/ALACANT,JUAN ANTONIO DOMENECH BONET,"AVDA Costa Blanca, 148, 03540",17,5,21
A-502-F,ALICANTE,ALICANTE/ALACANT,"LUIS EDUARDO MORENO MUÑOZ, MERCEDES MANTECA PEREZ","CALLE Gran Via, 1, 03009",19,5,21
A-511-F,ALICANTE,ALICANTE/ALACANT,CONCEPCION TORRAS SANCHEZ,"CALLE Ruiz de Alarcon, 5, 03009",19,5,21
A-55-F,ALICANTE,ALICANTE/ALACANT,MIGUEL ANGEL ALVADO PEREZ,"CALLE Capitan Segarra, 11, 03004",17,2,21
A-56-F,ALICANTE,ALICANTE/ALACANT,PEDRO BELDA CALATAYUD,"CALLE CANALEJAS, 5, 03001",17,1,21
